,Genes,protein_count
1,Mfl001,82.08408143917455
2,Mfl002,400.7619712265716
3,Mfl003,120.130981712744
4,Mfl004,65.81583353965712
5,Mfl005,95.51923406048329
6,Mfl006,211.84902550290624
7,Mfl007,128.08829882555955
8,Mfl008,0.0
9,Mfl009,0.0
10,Mfl010,0.0
11,Mfl011,0.0
12,Mfl012,67.82158428008864
13,Mfl013,27.423266854299918
14,Mfl014,191.67223018810986
15,Mfl015,41.30701033585468
16,Mfl016,0.0
17,Mfl017,214.3376834800493
18,Mfl018,107.53632363308249
19,Mfl019,317.0666687801906
20,Mfl020,98.63849000849312
21,Mfl021,626.8963286925812
22,Mfl022,1592.1587833157973
23,Mfl023,688.4655007722592
24,Mfl024,131.45068175953472
25,Mfl025,236.44468118346418
26,Mfl026,68.77041826803394
27,Mfl027,212.1694679958594
28,Mfl028,141.0339346549082
29,Mfl029,127.02621388461542
30,Mfl030,249.11411263347946
31,Mfl031,178.99704314330774
32,Mfl032,0.0
33,Mfl033,0.0
34,Mfl034,0.0
35,Mfl035,0.0
36,Mfl036,72.37658963711809
37,Mfl037,458.16289812310146
38,Mfl038,200.12062886436695
39,Mfl039,526.4890150779476
40,Mfl040,404.4612341583373
41,Mfl041,345.71448531919305
42,Mfl042,230.39501301794516
43,Mfl043,341.37422880539305
44,Mfl044,135.79651122917903
45,Mfl045,269.122080458651
46,Mfl046,1127.0180903463772
47,Mfl047,74.22838562128065
48,Mfl048,1169.0924656040088
49,Mfl049,73.7323629340126
50,Mfl050,45.42503968215239
51,Mfl051,114.03733705155011
52,Mfl052,78.54905040634198
53,Mfl053,205.6484037832026
54,Mfl054,0.0
55,Mfl055,0.0
56,Mfl056,0.0
57,Mfl057,107.41790942781341
58,Mfl058,167.40480136841157
59,Mfl059,133.7098810542845
60,Mfl060,38.005066083329915
61,Mfl061,0.0
62,Mfl062,150.57572851030287
63,Mfl063,0.0
64,Mfl064,121.83638518010027
65,Mfl065,89.74886526394721
66,Mfl066,7.785784592364501
67,Mfl067,768.2532183599509
68,Mfl068,0.0
69,Mfl069,0.0
70,Mfl070,143.9660399847776
71,Mfl071,481.2745136709686
72,Mfl072,63.97907318304258
73,Mfl073,505.60714952937644
74,Mfl074,213.09176010287044
75,Mfl075,81.6449581868199
76,Mfl076,319.4315172989752
77,Mfl077,0.0
78,Mfl078,0.0
79,Mfl079,0.0
80,-,0.0
81,Mfl080,1192.9742350196695
82,Mfl081,81.7249589798832
83,Mfl082,2538.029523523431
84,Mfl083,1062.979185632964
85,Mfl084,425.2746199757941
86,Mfl085,224.8402124717866
87,Mfl086,0.0
88,Mfl087,88.21848420170268
89,Mfl088,133.78825784161458
90,Mfl090,0.0
91,Mfl091,416.989895409267
92,Mfl092,94.80667069387292
93,Mfl093,83.24919448851738
94,Mfl094,207.40284333856357
95,Mfl095,450.18926691013934
96,Mfl096,463.7129648653143
97,Mfl097,277.636214345695
98,Mfl098,393.6045583844486
99,Mfl099,0.0
100,Mfl100,115.27381256558817
101,Mfl101,51.23206954428238
102,Mfl102,1252.1089780796046
103,Mfl103,0.0
104,Mfl104,0.0
105,Mfl105,750.4868720653468
106,Mfl106,425.79836922902984
107,Mfl107,241.24524213077737
108,Mfl109,0.0
109,Mfl110,0.0
110,Mfl111,804.4315939094492
111,Mfl112,508.8075267850437
112,Mfl113,576.7627583454549
113,Mfl114,265.42223012055626
114,Mfl115,342.39436108759423
115,Mfl116,49.860480702192916
116,Mfl117,276.1914514580468
117,Mfl118,0.0
118,Mfl119,107.61026278772523
119,Mfl120,54.37865222706105
120,Mfl121,378.7078499651443
121,Mfl122,2418.144033230532
122,Mfl123,922.991347607237
123,Mfl124,509.90967876105253
124,Mfl125,2568.263751790567
125,Mfl126,693.5532293716518
126,Mfl127,8267.021610754164
127,Mfl128,1903.9217060531435
128,Mfl129,848.8113909228816
129,Mfl130,1279.8052111741474
130,Mfl131,4059.9792366838446
131,Mfl132,2585.8747809411134
132,Mfl133,1125.2334363864784
133,Mfl134,4798.562072682085
134,Mfl135,2347.357824016409
135,Mfl136,1672.3695815460173
136,Mfl137,1045.1487972399332
137,Mfl138,1488.271057584556
138,Mfl139,860.153688836683
139,Mfl140,1553.3343989357916
140,Mfl141,1052.5262900079354
141,Mfl142,62.1462469679763
142,Mfl143,127.97523544769098
