,Genes,Essentiality
39,Mfl001,E
40,Mfl002,E
575,Mfl003,NE
578,Mfl004,NE
361,Mfl005,NE
41,Mfl006,E
6,Mfl007,E
362,Mfl008,NE
691,Mfl009,NE
546,Mfl010,NE
681,Mfl011,NE
32,Mfl012,E
433,Mfl013,NE
678,Mfl014,NE
679,Mfl015,NE
417,Mfl016,NE
42,Mfl017,E
43,Mfl018,E
450,Mfl019,NE
525,Mfl020,NE
707,Mfl021,E
671,Mfl022,NE
591,Mfl023,NE
389,Mfl024,NE
12,Mfl025,E
531,Mfl026,NE
530,Mfl027,NE
521,Mfl028,NE
520,Mfl029,NE
44,Mfl030,E
331,Mfl031,NE
346,Mfl032,NE
599,Mfl033,NE
506,Mfl034,NE
507,Mfl035,NE
45,Mfl036,E
505,Mfl037,NE
664,Mfl038,NE
665,Mfl039,NE
473,Mfl040,NE
472,Mfl041,NE
471,Mfl042,NE
470,Mfl043,NE
638,Mfl044,NE
428,Mfl045,NE
46,Mfl046,E
656,Mfl047,NE
655,Mfl048,NE
47,Mfl049,E
714,Mfl050,E
335,Mfl051,NE
640,Mfl052,NE
465,Mfl053,NE
439,Mfl054,NE
642,Mfl055,NE
35,Mfl056,E
19,Mfl057,E
643,Mfl058,NE
491,Mfl059,NE
409,Mfl060,NE
408,Mfl061,NE
628,Mfl062,NE
627,Mfl063,NE
48,Mfl064,E
704,Mfl065,E
407,Mfl066,NE
406,Mfl067,NE
49,Mfl068,E
629,Mfl069,NE
613,Mfl070,NE
50,Mfl071,E
612,Mfl072,NE
51,Mfl073,E
696,Mfl074,NE
373,Mfl075,NE
52,Mfl076,E
53,Mfl077,E
54,Mfl078,E
617,Mfl079,NE
55,Mfl080,E
56,Mfl081,E
57,Mfl082,E
378,Mfl083,E
58,Mfl084,E
59,Mfl085,E
3,Mfl086,E
60,Mfl087,E
61,Mfl088,E
62,Mfl089,E
63,Mfl090,E
543,Mfl091,NE
64,Mfl092,E
544,Mfl093,NE
65,Mfl094,E
66,Mfl095,E
67,Mfl096,E
68,Mfl097,E
69,Mfl098,E
675,Mfl099,NE
412,Mfl100,NE
413,Mfl101,NE
410,Mfl102,NE
329,Mfl103,NE
330,Mfl104,NE
414,Mfl105,NE
713,Mfl106,E
630,Mfl107,NE
71,Mfl108,E
10,Mfl109,E
72,Mfl110,E
73,Mfl111,E
74,Mfl112,E
75,Mfl113,E
76,Mfl114,E
77,Mfl115,E
21,Mfl116,E
597,Mfl117,NE
455,Mfl118,NE
435,Mfl119,NE
452,Mfl120,NE
338,Mfl121,NE
78,Mfl122,E
79,Mfl123,E
80,Mfl124,E
81,Mfl125,E
82,Mfl126,E
83,Mfl127,E
84,Mfl128,E
85,Mfl129,E
86,Mfl130,E
87,Mfl131,E
88,Mfl132,E
89,Mfl133,E
90,Mfl134,E
91,Mfl135,E
92,Mfl136,E
93,Mfl137,E
94,Mfl138,E
95,Mfl139,E
96,Mfl140,E
706,Mfl141,E
97,Mfl142,E
705,Mfl143,E
98,Mfl144,E
99,Mfl145,E
100,Mfl146,E
101,Mfl147,E
102,Mfl148,E
103,Mfl149,E
104,Mfl150,E
105,Mfl151,E
106,Mfl152,E
107,Mfl153,E
18,Mfl154,E
684,Mfl155,NE
108,Mfl156,E
537,Mfl157,NE
496,Mfl158,NE
580,Mfl159,NE
109,Mfl160,E
110,Mfl161,E
111,Mfl162,E
112,Mfl163,E
393,Mfl164,NE
363,Mfl165,NE
113,Mfl166,E
692,Mfl167,NE
364,Mfl168,NE
589,Mfl169,NE
374,Mfl170,NE
119,Mfl171,E
616,Mfl172,NE
615,Mfl173,NE
120,Mfl174,E
121,Mfl175,E
614,Mfl176,NE
122,Mfl177,E
123,Mfl178,E
382,Mfl179,E
388,Mfl180,NE
620,Mfl181,NE
619,Mfl182,NE
323,Mfl183,NE
622,Mfl184,NE
124,Mfl185,E
22,Mfl186,E
448,Mfl187,NE
125,Mfl188,E
126,Mfl189,E
127,Mfl190,E
403,Mfl191,NE
128,Mfl192,E
420,Mfl193,NE
634,Mfl194,NE
129,Mfl195,E
322,Mfl196,NE
423,Mfl197,NE
391,Mfl198,NE
130,Mfl199,E
131,Mfl200,E
132,Mfl201,E
336,Mfl202,NE
2,Mfl203,E
133,Mfl204,E
134,Mfl205,E
337,Mfl206,NE
451,Mfl207,NE
23,Mfl208,E
647,Mfl209,NE
135,Mfl210,E
136,Mfl211,E
418,Mfl212,NE
419,Mfl213,NE
635,Mfl214,NE
333,Mfl215,NE
633,Mfl216,NE
422,Mfl217,NE
13,Mfl218,E
636,Mfl219,NE
509,Mfl220,NE
699,Mfl221,E
137,Mfl222,E
138,Mfl223,E
349,Mfl224,NE
348,Mfl225,NE
8,Mfl226,E
700,Mfl227,E
698,Mfl228,E
140,Mfl229,E
141,Mfl230,E
142,Mfl231,E
660,Mfl232,NE
487,Mfl233,NE
659,Mfl234,NE
484,Mfl235,NE
485,Mfl236,NE
143,Mfl237,E
342,Mfl238,NE
611,Mfl239,NE
144,Mfl240,E
582,Mfl241,NE
584,Mfl242,NE
583,Mfl243,NE
145,Mfl244,E
579,Mfl245,NE
146,Mfl246,E
147,Mfl247,E
148,Mfl248,E
149,Mfl249,E
356,Mfl250,NE
552,Mfl251,NE
550,Mfl252,NE
551,Mfl253,NE
150,Mfl254,E
549,Mfl255,NE
712,Mfl256,E
151,Mfl257,E
682,Mfl258,NE
548,Mfl259,NE
623,Mfl260,NE
390,Mfl261,NE
621,Mfl262,NE
324,Mfl263,NE
641,Mfl264,NE
152,Mfl265,E
1,Mfl266,E
153,Mfl267,E
154,Mfl268,E
155,Mfl269,E
15,Mfl270,E
556,Mfl271,NE
370,Mfl272,NE
156,Mfl273,E
608,Mfl274,NE
16,Mfl275,E
371,Mfl276,NE
573,Mfl277,NE
532,Mfl278,NE
157,Mfl279,E
340,Mfl280,NE
467,Mfl281,NE
158,Mfl282,E
469,Mfl283,NE
159,Mfl284,E
161,Mfl285,E
162,Mfl286,E
440,Mfl287,NE
163,Mfl288,E
652,Mfl289,NE
164,Mfl290,E
165,Mfl291,E
20,Mfl292,E
444,Mfl293,NE
447,Mfl294,NE
166,Mfl295,E
445,Mfl296,NE
446,Mfl297,NE
437,Mfl298,NE
167,Mfl299,E
515,Mfl300,NE
703,Mfl301,E
516,Mfl302,NE
7,Mfl303,E
517,Mfl304,NE
518,Mfl305,NE
508,Mfl306,NE
168,Mfl307,E
169,Mfl308,E
170,Mfl309,E
377,Mfl310,E
542,Mfl311,NE
541,Mfl312,NE
352,Mfl313,NE
540,Mfl314,NE
674,Mfl315,NE
539,Mfl316,NE
538,Mfl317,NE
677,Mfl318,NE
354,Mfl319,NE
171,Mfl320,E
172,Mfl321,E
386,Mfl322,NE
173,Mfl323,E
458,Mfl324,NE
650,Mfl325,NE
456,Mfl326,NE
339,Mfl327,NE
454,Mfl328,NE
649,Mfl329,NE
174,Mfl330,E
493,Mfl331,NE
175,Mfl332,E
495,Mfl333,NE
176,Mfl334,E
662,Mfl335,NE
177,Mfl336,E
178,Mfl337,E
661,Mfl338,NE
490,Mfl339,NE
395,Mfl340,NE
179,Mfl341,E
396,Mfl342,NE
24,Mfl343,E
325,Mfl344,NE
392,Mfl345,NE
180,Mfl346,E
394,Mfl347,NE
701,Mfl348,E
658,Mfl349,NE
181,Mfl350,E
426,Mfl351,NE
425,Mfl352,NE
182,Mfl353,E
334,Mfl354,NE
183,Mfl355,E
14,Mfl356,E
184,Mfl357,E
421,Mfl358,NE
185,Mfl359,E
186,Mfl360,E
571,Mfl361,NE
569,Mfl362,NE
187,Mfl362.1,E
379,Mfl363,E
188,Mfl364,E
189,Mfl365,E
190,Mfl366,E
689,Mfl367,NE
572,Mfl368,NE
191,Mfl368.1,E
690,Mfl369,NE
596,Mfl370,NE
595,Mfl371,NE
192,Mfl372,E
193,Mfl373,E
368,Mfl374,NE
367,Mfl375,NE
711,Mfl376,E
598,Mfl377,NE
600,Mfl378,NE
693,Mfl379,NE
194,Mfl380,E
195,Mfl381,E
201,Mfl382,E
202,Mfl383,E
203,Mfl384,E
204,Mfl385,E
27,Mfl386,E
523,Mfl387,NE
424,Mfl388,NE
205,Mfl389,E
564,Mfl390,NE
563,Mfl391,NE
687,Mfl392,NE
358,Mfl393,NE
37,Mfl394,E
357,Mfl395,NE
206,Mfl396,E
557,Mfl397,NE
207,Mfl398,E
208,Mfl399,E
209,Mfl400,E
547,Mfl401,NE
604,Mfl402,NE
369,Mfl403,NE
694,Mfl404,NE
603,Mfl405,NE
534,Mfl406,NE
210,Mfl407,E
609,Mfl408,NE
17,Mfl409,E
588,Mfl410,NE
211,Mfl411,E
212,Mfl412,E
29,Mfl413,E
592,Mfl414,NE
213,Mfl415,E
214,Mfl416,E
215,Mfl417,E
585,Mfl418,NE
586,Mfl419,NE
402,Mfl420,NE
380,Mfl421,E
38,Mfl422,E
574,Mfl423,NE
558,Mfl424,NE
570,Mfl425,NE
686,Mfl426,NE
486,Mfl427,NE
555,Mfl428,NE
685,Mfl429,NE
672,Mfl430,NE
478,Mfl431,NE
528,Mfl432,NE
216,Mfl433,E
526,Mfl434,NE
527,Mfl435,NE
524,Mfl436,NE
351,Mfl437,NE
533,Mfl438,NE
217,Mfl439,E
218,Mfl440,E
219,Mfl441,E
492,Mfl442,NE
220,Mfl443,E
33,Mfl444,E
494,Mfl446,NE
568,Mfl447,NE
344,Mfl448,NE
489,Mfl449,NE
460,Mfl450,NE
461,Mfl451,NE
462,Mfl452,NE
651,Mfl453,NE
610,Mfl454,NE
457,Mfl455,NE
594,Mfl456,NE
459,Mfl457,NE
648,Mfl458,NE
453,Mfl459,NE
429,Mfl460,NE
637,Mfl461,NE
31,Mfl462,E
221,Mfl463,E
222,Mfl464,E
431,Mfl465,NE
223,Mfl466,E
224,Mfl467,E
225,Mfl468,E
432,Mfl469,NE
398,Mfl470,NE
399,Mfl471,NE
226,Mfl472,E
475,Mfl473,NE
327,Mfl474,NE
227,Mfl475,E
228,Mfl476,E
229,Mfl477,E
231,Mfl478,E
404,Mfl479,NE
232,Mfl480,E
0,Mfl481,E
360,Mfl482,NE
359,Mfl483,NE
697,Mfl484,E
233,Mfl485,E
234,Mfl486,E
567,Mfl487,NE
566,Mfl488,NE
688,Mfl489,NE
235,Mfl490,E
673,Mfl491,NE
709,Mfl492,E
237,Mfl493,E
376,Mfl494,E
238,Mfl495,E
239,Mfl496,E
581,Mfl497,NE
535,Mfl498,NE
536,Mfl499,NE
587,Mfl500,NE
666,Mfl501,NE
240,Mfl502,E
488,Mfl503,NE
241,Mfl504,E
644,Mfl505,NE
443,Mfl506,NE
449,Mfl507,NE
474,Mfl508,NE
476,Mfl509,NE
30,Mfl510,E
708,Mfl511,E
252,Mfl513,E
468,Mfl514,NE
427,Mfl515,NE
341,Mfl516,NE
657,Mfl517,NE
654,Mfl518,NE
466,Mfl519,NE
253,Mfl520,E
254,Mfl521,E
255,Mfl522,E
256,Mfl523,E
504,Mfl524,NE
646,Mfl525,NE
668,Mfl526,NE
347,Mfl527,NE
663,Mfl528,NE
258,Mfl529,E
514,Mfl530,NE
513,Mfl531,NE
512,Mfl532,NE
511,Mfl533,NE
510,Mfl534,NE
5,Mfl535,E
350,Mfl536,NE
669,Mfl537,NE
259,Mfl538,E
519,Mfl539,NE
545,Mfl540,NE
260,Mfl541,E
261,Mfl542,E
262,Mfl543,E
263,Mfl544,E
683,Mfl545,NE
680,Mfl546,NE
343,Mfl547,NE
355,Mfl548,NE
264,Mfl549,E
576,Mfl550,NE
4,Mfl551,E
577,Mfl552,NE
702,Mfl553,E
265,Mfl554,E
266,Mfl555,E
267,Mfl556,E
268,Mfl558,E
25,Mfl559,E
269,Mfl560,E
270,Mfl561,E
271,Mfl562,E
372,Mfl563,NE
272,Mfl564,E
606,Mfl565,NE
607,Mfl566,NE
273,Mfl567,E
274,Mfl568,E
275,Mfl569,E
276,Mfl570,E
625,Mfl571,NE
277,Mfl572,E
497,Mfl573,NE
328,Mfl574,NE
375,Mfl575,E
405,Mfl576,NE
278,Mfl577,E
279,Mfl578,E
280,Mfl579,E
281,Mfl580,E
618,Mfl581,NE
385,Mfl582,NE
282,Mfl583,E
383,Mfl584,NE
384,Mfl585,NE
283,Mfl586,E
284,Mfl587,E
285,Mfl588,E
286,Mfl589,E
415,Mfl590,NE
287,Mfl591,E
416,Mfl592,NE
290,Mfl593,E
291,Mfl594,E
292,Mfl595,E
632,Mfl596,NE
293,Mfl597,E
294,Mfl598,E
332,Mfl599,NE
631,Mfl600,NE
411,Mfl601,NE
295,Mfl602,E
26,Mfl604,E
463,Mfl605,NE
653,Mfl606,NE
464,Mfl607,NE
434,Mfl608,NE
296,Mfl609,E
441,Mfl610,NE
442,Mfl611,NE
297,Mfl612,E
298,Mfl613,E
299,Mfl614,E
438,Mfl615,NE
639,Mfl616,NE
436,Mfl617,NE
499,Mfl618,NE
645,Mfl619,NE
560,Mfl620,NE
300,Mfl621,E
529,Mfl622,NE
301,Mfl623,E
302,Mfl624,E
303,Mfl625,E
353,Mfl626,NE
670,Mfl627,NE
710,Mfl628,E
522,Mfl629,NE
304,Mfl630,E
34,Mfl632,E
498,Mfl633,NE
305,Mfl634,E
345,Mfl635,NE
500,Mfl636,NE
306,Mfl637,E
501,Mfl638,NE
502,Mfl639,NE
28,Mfl640,E
11,Mfl641,E
430,Mfl642,NE
590,Mfl643,NE
307,Mfl644,E
365,Mfl645,NE
593,Mfl646,NE
366,Mfl647,NE
381,Mfl648,E
9,Mfl649,E
559,Mfl650,NE
308,Mfl651,E
565,Mfl652,NE
36,Mfl653,E
309,Mfl654,E
503,Mfl655,NE
561,Mfl656,NE
562,Mfl657,NE
553,Mfl658,NE
554,Mfl659,NE
326,Mfl660,NE
310,Mfl661,E
311,Mfl662,E
312,Mfl663,E
624,Mfl664,NE
313,Mfl665,E
401,Mfl666,NE
400,Mfl667,NE
626,Mfl668,NE
667,Mfl669,NE
676,Mfl670,NE
695,Mfl671,NE
605,Mfl672,NE
314,Mfl673,E
601,Mfl674,NE
602,Mfl675,NE
315,Mfl676,E
316,Mfl677,E
317,Mfl678,E
318,Mfl679,E
387,Mfl680,NE
319,Mfl681,E
320,Mfl682,E
321,Mfl682.1,E
477,Mflr01,NE
480,Mflr02,NE
479,Mflr03,NE
482,Mflr04,NE
481,Mflr05,NE
483,Mflr06,NE
70,Mflt01,E
196,Mflt010,E
197,Mflt011,E
198,Mflt012,E
199,Mflt013,E
200,Mflt014,E
230,Mflt015,E
236,Mflt016,E
242,Mflt017,E
243,Mflt018,E
244,Mflt019,E
114,Mflt02,E
245,Mflt020,E
