,Gene,NSAF
45,Mfl001,0.0169306184012066
474,Mfl002,0.0264336917562724
404,Mfl003,0.0393518518518519
176,Mfl004,0.00462962962962963
1,Mfl005,0.0237203495630462
443,Mfl006,0.0266089291410208
379,Mfl007,0.0266555563572763
0,Mfl008,0
1,Mfl009,0
2,Mfl010,0
479,Mfl011,0.00233644859813084
186,Mfl012,0.00766045548654244
13,Mfl013,0.00371747211895911
396,Mfl014,0.0305130385487528
163,Mfl015,0.00630252100840336
3,Mfl016,0
205,Mfl017,0.0487759603657437
152,Mfl018,0.0215700965700966
301,Mfl019,0.0747350342436296
267,Mfl020,0.0203813799016124
447,Mfl021,0.113047522019824
395,Mfl022,0.334928085199825
41,Mfl023,0.118136551249047
230,Mfl024,0.0180508493864452
157,Mfl025,0.0599472990777339
99,Mfl026,0.0139751552795031
25,Mfl027,0.0588008800880088
475,Mfl028,0.0528846153846154
405,Mfl029,0.0295782235597051
341,Mfl030,0.0787803800966196
287,Mfl031,0.0334728033472803
4,Mfl032,0
5,Mfl033,0
275,Mfl034,0.00886917960088692
6,Mfl035,0
408,Mfl036,0.0132840028188865
108,Mfl037,0.0991194483547159
10,Mfl038,0.0408074741408075
193,Mfl039,0.10589093570144
126,Mfl040,0.125018328093427
348,Mfl041,0.108129897047544
282,Mfl042,0.0849229455430827
459,Mfl043,0.106089847446236
11,Mfl044,0.0388929987031253
209,Mfl045,0.038766559255281
146,Mfl046,0.26225540587758
309,Mfl047,0.0150375939849624
253,Mfl048,0.208279006686486
490,Mfl049,0.0227987421383648
425,Mfl050,0.0154320987654321
77,Mfl051,0.0283333333333333
17,Mfl052,0.0168350168350168
216,Mfl053,0.042306502111548
7,Mfl054,0
8,Mfl055,0
9,Mfl056,0
329,Mfl057,0.0207454206710061
410,Mfl058,0.0251021211375689
458,Mfl059,0.0489721165891796
54,Mfl060,0.00544959128065395
10,Mfl061,0
128,Mfl062,0.0391247205424818
11,Mfl063,0
386,Mfl064,0.0280470065839841
76,Mfl065,0.0145985401459854
7,Mfl066,0.00791139240506329
198,Mfl067,0.168630443630443
12,Mfl068,0
13,Mfl069,0
491,Mfl070,0.0442324032297789
284,Mfl071,0.149243375367887
305,Mfl072,0.026052993375828
139,Mfl073,0.123440784427331
423,Mfl074,0.0358462199312715
364,Mfl075,0.00761421319796954
298,Mfl076,0.0772313045750545
333,Mfl077,0.0027027027027027
14,Mfl078,0
15,Mfl079,0
67,Mfl080,0.402352942672505
6,Mfl081,0.01
15,Mfl082,0.667229590584855
75,Mfl083,0.174965888231194
480,Mfl084,0.0538564019318326
426,Mfl085,0.0545912466915663
16,Mfl086,0
115,Mfl087,0.0173095627139745
53,Mfl088,0.0296747967479675
17,Mfl089,0
180,Mfl090,0.027027027027027
355,Mfl091,0.0772421755594832
290,Mfl092,0.0492731179453254
489,Mfl093,0.0239520958083832
482,Mfl094,0.0179324894514768
469,Mfl095,0.0928343586238323
414,Mfl096,0.0567125460543291
339,Mfl097,0.0542720063142301
276,Mfl098,0.0539751644467149
18,Mfl099,0
232,Mfl100,0.0228263667096757
162,Mfl101,0.0158919445120467
104,Mfl102,0.207855436535874
46,Mfl103,0.00386100386100386
19,Mfl104,0
321,Mfl105,0.141977691977692
370,Mfl106,0.0669945445590531
437,Mfl107,0.034789644012945
20,Mfl108,0
21,Mfl109,0
22,Mfl110,0
160,Mfl111,0.384765645876757
231,Mfl112,0.0825287807430664
261,Mfl113,0.199385515269999
171,Mfl114,0.0545669129720854
106,Mfl115,0.0910228509145835
48,Mfl116,0.0102040816326531
366,Mfl117,0.0406462585034014
23,Mfl118,0
259,Mfl119,0.0240753216503794
324,Mfl120,0.0173384353741497
123,Mfl121,0.130803848612068
182,Mfl122,1.03000837227968
243,Mfl123,0.137344710519703
226,Mfl124,0.119016515319888
150,Mfl125,0.337964370145221
303,Mfl126,0.150814260137623
254,Mfl127,1.33352516346703
435,Mfl128,0.432834836294659
392,Mfl129,0.156873919684619
42,Mfl130,0.369308367286309
93,Mfl131,0.719653009739575
168,Mfl132,0.696848870084165
143,Mfl133,0.325689861140681
250,Mfl134,0.54643152342886
242,Mfl135,0.441043140983378
127,Mfl136,0.936111111111111
78,Mfl137,0.182278077784681
12,Mfl138,0.22494864317781
449,Mfl139,0.1951966873706
389,Mfl140,0.686788124829422
308,Mfl141,0.31553971466537
133,Mfl142,0.00180505415162455
357,Mfl143,0.0120232172470978
448,Mfl144,0.100329277079455
43,Mfl145,0.0233180428134557
105,Mfl146,0.146001221001221
151,Mfl147,0.288288288288288
212,Mfl148,0.236832909973406
257,Mfl149,0.274940047033071
314,Mfl150,0.141076918009743
397,Mfl151,0.220047513691581
454,Mfl152,0.0403797628396558
88,Mfl153,0.0983197340002323
473,Mfl154,0.0077639751552795
164,Mfl155,0.008
103,Mfl156,0.0132620126747653
37,Mfl157,0.0212228340831495
451,Mfl158,0.00872719734660033
398,Mfl159,0.00544970821810795
337,Mfl160,0.0132223415682062
24,Mfl161,0
241,Mfl162,0.0211393805923019
161,Mfl163,0.0229476536377263
25,Mfl164,0
487,Mfl165,0.0328876378137462
26,Mfl166,0
111,Mfl167,0.0201674277016743
235,Mfl168,0.020966420966421
131,Mfl169,0.0259912536443149
349,Mfl170,0.0763499301116856
292,Mfl171,0.0465189873417722
481,Mfl172,0.0716267146123262
124,Mfl173,0.0333147097587531
191,Mfl174,0.162158751734521
197,Mfl175,0.313113987642861
130,Mfl176,0.122904165186044
84,Mfl177,0.0246618040150378
31,Mfl178,0.455831599643483
439,Mfl179,0.0180067001675042
372,Mfl180,0.144960433831402
356,Mfl181,0.144939707720995
291,Mfl182,0.00736434108527132
27,Mfl183,0
28,Mfl184,0
494,Mfl185,0.130555555555556
296,Mfl186,0.0213864306784661
362,Mfl187,0.202148744744286
63,Mfl188,0.0878450793034126
0,Mfl189,1.47265625
188,Mfl190,0.334525325281629
122,Mfl191,0.018348623853211
331,Mfl192,0.0375614393792159
74,Mfl193,0.0109819121447028
132,Mfl194,0.00531914893617021
200,Mfl195,0.0564189189189189
29,Mfl196,0
273,Mfl197,0.0415457456229988
330,Mfl198,0.0446483180428135
409,Mfl199,0.0645186089630534
477,Mfl200,0.0362190812720848
281,Mfl201,2.0660815173527
30,Mfl202,0
31,Mfl203,0
125,Mfl204,0.16138014527845
32,Mfl205,0
283,Mfl206,0.00967741935483871
256,Mfl207,0.00398406374501992
438,Mfl208,0.0167189132706374
378,Mfl209,0.0188027958436122
33,Mfl210,0
34,Mfl211,0
35,Mfl212,0
36,Mfl213,0
187,Mfl214,0.020704974161888
147,Mfl215,0.00970319634703196
37,Mfl216,0
28,Mfl217,0.0126182965299685
465,Mfl218,0.0361897611897612
38,Mfl219,0
387,Mfl220,0.0360805860805861
325,Mfl221,0.0051789077212806
265,Mfl222,0.00749063670411985
101,Mfl223,0.0157657657657658
39,Mfl224,0
40,Mfl225,0
41,Mfl226,0
338,Mfl227,0.148717948717949
269,Mfl228,0.0666666666666667
467,Mfl229,0.0323337269965644
444,Mfl230,0.0357831790123456
382,Mfl231,0.0548769053845196
92,Mfl232,0.0241294968730386
436,Mfl233,0.0328226260918569
42,Mfl234,0
304,Mfl235,0.0341409078251183
237,Mfl236,0.0175257731958763
174,Mfl237,0.0353922757418198
96,Mfl238,0.0910493827160494
39,Mfl239,0.0118110236220472
483,Mfl240,0.0920722169986876
420,Mfl241,0.0553508537931914
376,Mfl242,0.015843621399177
43,Mfl243,0
64,Mfl244,0.0286153846153846
2,Mfl245,0.191584362139918
429,Mfl246,0.0773095678659147
495,Mfl247,0.0422908263988992
44,Mfl248,0
343,Mfl249,0.0387323943661972
181,Mfl250,0.151786051435584
45,Mfl251,0
190,Mfl252,0.0219164118246687
46,Mfl253,0
332,Mfl254,0.106114889231624
102,Mfl255,0.00813008130081301
47,Mfl256,0
14,Mfl257,0.084733893557423
66,Mfl258,0.00943396226415094
486,Mfl259,0.0392684390929811
412,Mfl260,0.0216409406491353
335,Mfl261,0.0134242213937794
278,Mfl262,0.0051153422018562
202,Mfl263,0.0492957746478873
48,Mfl264,0
49,Mfl265,0
418,Mfl266,0.0262172284644195
50,Mfl267,0
21,Mfl268,0.0163730158730159
468,Mfl269,0.0024
90,Mfl269,0.00406666666666667
136,Mfl270,0.0547075397349794
51,Mfl271,0
361,Mfl272,0.0111111111111111
407,Mfl273,0.0251199102829537
466,Mfl274,0.0108991825613079
288,Mfl275,0.0172898484891722
354,Mfl276,0.0450980392156863
52,Mfl277,0
201,Mfl278,0.0127659008727944
53,Mfl279,0
54,Mfl280,0
416,Mfl281,0.0351351351351351
471,Mfl282,0.0174825174825175
55,Mfl283,0
158,Mfl284,0.700584795321638
218,Mfl285,0.00735294117647059
56,Mfl286,0
57,Mfl287,0
401,Mfl288,0.00420276997929844
462,Mfl289,0.0438418577307466
58,Mfl290,0
94,Mfl291,0.0458015267175573
166,Mfl292,0.0975095728209901
415,Mfl293,0.0388349514563107
59,Mfl294,0
446,Mfl295,0.0603006093784473
394,Mfl296,0.0375835718227023
317,Mfl297,0.00546448087431694
255,Mfl298,0.0106687898089172
60,Mfl299,0
61,Mfl300,0
81,Mfl301,0.025
62,Mfl302,0
144,Mfl303,0.00843881856540084
207,Mfl304,0.0129528450013032
229,Mfl305,0.0233418826044726
35,Mfl306,0.132590145884944
98,Mfl307,0.0185988807940027
313,Mfl308,0.0239454094292804
263,Mfl309,0.0270506772646869
455,Mfl310,0.00919290598427662
63,Mfl311,0
64,Mfl312,0
65,Mfl313,0
66,Mfl314,0
450,Mfl315,0.00922909880564604
67,Mfl316,0
68,Mfl317,0
69,Mfl318,0
70,Mfl319,0
245,Mfl320,0.0248618784530387
219,Mfl321,0.0181159420289855
159,Mfl322,0.00309119010819165
71,Mfl323,0
319,Mfl324,0.039762344052012
167,Mfl325,0.0446184238375674
72,Mfl326,0
73,Mfl327,0
252,Mfl328,0.00443786982248521
323,Mfl329,0.0204081632653061
368,Mfl330,0.264705882352941
434,Mfl331,0.0223325062034739
260,Mfl332,0.0307017543859649
199,Mfl333,0.0331365267152938
264,Mfl334,0.0362947658402204
74,Mfl335,0
365,Mfl336,0.332013201320132
432,Mfl337,0.032967032967033
75,Mfl338,0
76,Mfl339,0
77,Mfl340,0
121,Mfl341,0.115384615384615
78,Mfl342,0
258,Mfl343,0.00694444444444444
79,Mfl344,0
80,Mfl345,0
81,Mfl346,0
82,Mfl347,0
493,Mfl348,0.259497929606625
