,Gene,Abundance
0,Mfl001,655
1,Mfl002,2240
2,Mfl003,7299
3,Mfl004,28
4,Mfl005,797
5,Mfl006,7522
6,Mfl007,8944
7,Mfl008,1700
8,Mfl009,1016
9,Mfl010,3097
10,Mfl011,2299
11,Mfl012,1664
12,Mfl013,802
13,Mfl014,898
14,Mfl015,710
15,Mfl016,186
16,Mfl017,4329
17,Mfl018,679
18,Mfl019,8113
19,Mfl020,2729
20,Mfl021,10309
21,Mfl022,2381
22,Mfl023,12961
23,Mfl024,11937
24,Mfl025,23761
25,Mfl026,6643
26,Mfl027,18736
27,Mfl028,5470
28,Mfl029,3668
29,Mfl030,5387
30,Mfl031,1646
31,Mfl032,185
32,Mfl033,143
33,Mfl034,85
34,Mfl035,196
35,Mfl036,1271
36,Mfl037,17573
37,Mfl038,9055
38,Mfl039,14047
39,Mfl040,20611
40,Mfl041,8711
41,Mfl042,18372
42,Mfl043,16199
43,Mfl044,9644
44,Mfl045,636
45,Mfl046,3961
46,Mfl047,645
47,Mfl048,12011
48,Mfl049,173
49,Mfl050,94
50,Mfl051,0
51,Mfl052,781
52,Mfl053,2340
53,Mfl054,1222
54,Mfl055,1790
55,Mfl056,75
56,Mfl057,3914
57,Mfl058,1274
58,Mfl059,2174
59,Mfl060,3688
60,Mfl061,2801
61,Mfl062,3845
62,Mfl063,278
63,Mfl064,892
64,Mfl065,1337
65,Mfl066,740
66,Mfl067,3744
67,Mfl068,965
68,Mfl069,4440
69,Mfl070,2419
70,Mfl071,18188
71,Mfl072,4409
72,Mfl073,34862
73,Mfl074,13267
74,Mfl075,3041
75,Mfl076,3985
76,Mfl077,1605
77,Mfl078,594
78,Mfl079,649
79,Mfl080,19658
80,Mfl081,38948
81,Mfl082,13626
82,Mfl083,10314
83,Mfl084,9148
84,Mfl085,8048
85,Mfl086,1678
86,Mfl087,3953
87,Mfl088,905
88,Mfl089,1031
89,Mfl090,3733
90,Mfl091,18824
91,Mfl092,2969
92,Mfl093,360
93,Mfl094,12477
94,Mfl095,18475
95,Mfl096,11448
96,Mfl097,17019
97,Mfl098,21363
98,Mfl099,263
99,Mfl100,3686
100,Mfl101,3214
101,Mfl102,2026
102,Mfl103,1005
103,Mfl104,1719
104,Mfl105,2559
105,Mfl106,6777
106,Mfl107,5838
107,Mfl108,13754
108,Mfl109,18867
109,Mfl110,15918
110,Mfl111,41887
111,Mfl112,12450
112,Mfl113,14635
113,Mfl114,10185
114,Mfl115,19229
115,Mfl116,4570
116,Mfl117,1870
117,Mfl118,1073
118,Mfl119,987
119,Mfl120,1682
120,Mfl121,2655
121,Mfl122,14088
122,Mfl123,21341
123,Mfl124,17230
124,Mfl125,13051
125,Mfl126,17391
126,Mfl127,36330
127,Mfl128,32239
128,Mfl129,26378
129,Mfl130,20346
130,Mfl131,37654
131,Mfl132,56136
132,Mfl133,27424
133,Mfl134,38714
134,Mfl135,24804
135,Mfl136,76318
136,Mfl137,54777
137,Mfl138,20606
138,Mfl139,22424
139,Mfl140,26679
140,Mfl141,18377
141,Mfl142,11526
142,Mfl143,287
143,Mfl144,2689
144,Mfl145,15027
145,Mfl146,10889
146,Mfl147,5761
147,Mfl148,16087
148,Mfl149,23126
149,Mfl150,12390
150,Mfl151,23929
151,Mfl152,3951
152,Mfl153,1612
153,Mfl154,2351
154,Mfl155,587
155,Mfl156,5024
156,Mfl157,7734
157,Mfl158,3790
158,Mfl159,1575
159,Mfl160,1255
160,Mfl161,1858
161,Mfl162,1727
162,Mfl163,2616
163,Mfl164,7358
164,Mfl165,6268
165,Mfl166,1089
166,Mfl167,2002
167,Mfl168,2009
168,Mfl169,3069
169,Mfl170,3016
170,Mfl171,2321
171,Mfl172,4103
172,Mfl173,3643
173,Mfl174,16815
174,Mfl175,18920
175,Mfl176,7116
176,Mfl177,4614
177,Mfl178,4498
178,Mfl179,4684
179,Mfl180,4972
180,Mfl181,4905
181,Mfl182,2696
182,Mfl183,789
183,Mfl184,3795
184,Mfl185,3405
185,Mfl186,6528
186,Mfl187,4577
187,Mfl188,10855
188,Mfl189,32551
189,Mfl190,12438
190,Mfl191,5956
191,Mfl192,1243
192,Mfl193,867
193,Mfl194,920
194,Mfl195,173
195,Mfl196,621
196,Mfl197,203
197,Mfl198,1147
198,Mfl199,2210
199,Mfl200,2572
200,Mfl201,6681
201,Mfl202,301
202,Mfl203,0
203,Mfl204,362
204,Mfl205,1853
205,Mfl206,1008
206,Mfl207,2173
207,Mfl208,1060
208,Mfl209,1488
209,Mfl210,1511
210,Mfl211,2908
211,Mfl212,2757
212,Mfl213,2721
213,Mfl214,6489
214,Mfl215,2543
215,Mfl216,100
216,Mfl217,577
217,Mfl218,1398
218,Mfl219,0
219,Mfl220,886
220,Mfl221,1451
221,Mfl222,738
222,Mfl223,1416
223,Mfl224,1028
224,Mfl225,1161
225,Mfl226,718
226,Mfl227,3121
227,Mfl228,3390
228,Mfl229,3304
229,Mfl230,2362
230,Mfl231,8022
231,Mfl232,3904
232,Mfl233,498
233,Mfl234,2282
234,Mfl235,2141
235,Mfl236,3742
236,Mfl237,1308
237,Mfl238,2124
238,Mfl239,2679
239,Mfl240,2369
240,Mfl241,9037
241,Mfl242,506
242,Mfl243,1439
243,Mfl244,1338
244,Mfl245,7956
245,Mfl246,7979
246,Mfl247,7214
247,Mfl248,484
248,Mfl249,49
249,Mfl250,1032
250,Mfl251,341
251,Mfl252,1662
252,Mfl253,124
253,Mfl254,6488
254,Mfl255,9202
255,Mfl256,6911
256,Mfl257,3906
257,Mfl258,2227
258,Mfl259,5501
259,Mfl260,2147
260,Mfl261,4206
261,Mfl262,1780
262,Mfl263,1230
263,Mfl264,20
264,Mfl265,267
265,Mfl266,843
266,Mfl267,458
267,Mfl268,3268
