,gene
0,Mfl001
1,Mfl002
2,Mfl006
3,Mfl007
4,Mfl012
5,Mfl014
6,Mfl017
7,Mfl018
8,Mfl021
9,Mfl025
10,Mfl030
11,Mfl036
12,Mfl046
13,Mfl049
14,Mfl050
15,Mfl056
16,Mfl057
17,Mfl058
18,Mfl064
19,Mfl065
20,Mfl068
21,Mfl071
22,Mfl073
23,Mfl076
24,Mfl077
25,Mfl078
26,Mfl080
27,Mfl081
28,Mfl082
29,Mfl083
30,Mfl084
31,Mfl085
32,Mfl086
33,Mfl087
34,Mfl088
35,Mfl089
36,Mfl090
37,Mfl092
38,Mfl093
39,Mfl094
40,Mfl095
41,Mfl096
42,Mfl097
43,Mfl098
44,Mflt01
45,Mfl106
46,Mfl108
47,Mfl109
48,Mfl110
49,Mfl111
50,Mfl112
51,Mfl113
52,Mfl114
53,Mfl115
54,Mfl116
55,Mfl122
56,Mfl123
57,Mfl124
58,Mfl125
59,Mfl126
60,Mfl127
61,Mfl128
62,Mfl129
63,Mfl130
64,Mfl131
65,Mfl132
66,Mfl133
67,Mfl134
68,Mfl135
69,Mfl136
70,Mfl137
71,Mfl138
72,Mfl139
73,Mfl140
74,Mfl141
75,Mfl142
76,Mfl143
77,Mfl144
78,Mfl145
79,Mfl146
80,Mfl147
81,Mfl148
82,Mfl149
83,Mfl150
84,Mfl151
85,Mfl152
86,Mfl153
87,Mfl154
88,Mfl156
89,Mfl160
90,Mfl161
91,Mfl162
92,Mfl163
93,Mfl166
94,Mflt02
95,Mflt03
96,Mflt04
97,Mflt05
98,Mflt07
99,Mfl171
100,Mfl174
101,Mfl175
102,Mfl177
103,Mfl178
104,Mfl179
105,Mfl185
106,Mfl186
107,Mfl188
108,Mfl189
109,Mfl190
110,Mfl192
111,Mfl195
112,Mfl199
113,Mfl200
114,Mfl201
115,Mfl204
116,Mfl205
117,Mfl208
118,Mfl210
119,Mfl211
120,Mfl218
121,Mfl221
122,Mfl222
123,Mfl223
124,Mflt08
125,Mfl226
126,Mfl227
127,Mfl228
128,Mfl229
129,Mfl230
130,Mfl231
131,Mfl237
132,Mfl240
133,Mfl244
134,Mfl246
135,Mfl247
136,Mfl248
